x1, x2, y
0.1986 0.0179 0.2537
0.2681 0.6427 1.5425
0.2307 0.0802 0.5332
0.4662 0.8319 2.2191
0.3346 0.6068 2.3813
0.8437 0.3109 1.5398
0.6760 0.1188 0.8534
0.1739 0.1042 0.2738
0.2575 0.8424 2.2911
0.1413 0.0675 0.5555
0.1779 0.4229 1.1135
0.4001 0.5089 0.8854
0.0970 0.9040 1.8634
0.0866 0.5916 2.2092
0.6324 0.3961 1.0590
0.5755 0.8424 3.2420
0.5418 0.6409 3.1325
0.7172 0.9204 4.1593
0.9037 0.3887 1.5391
0.5282 0.3836 2.4264
0.0102 0.4158 1.7806
0.9523 0.1483 1.8309
0.2478 0.3831 1.6672
0.4289 0.7043 2.0583
0.4651 0.7872 3.3864
0.5232 0.2885 2.4251
0.6463 0.7138 2.9759
0.2416 0.6369 2.6915
0.8908 0.1868 2.7352
0.7043 0.6567 1.9038
0.3808 0.4452 1.0218
0.5038 0.1924 1.6784
0.1695 0.7084 2.8379
0.3385 0.6503 1.1326
0.9846 0.7586 3.0803
0.9519 0.8117 2.9673
0.0234 0.4127 1.4336
0.7698 0.4385 1.9334
0.4654 0.6672 2.5114
0.9715 0.0471 2.4000
0.3606 0.3690 2.3035
0.3105 0.4541 1.4059
0.6285 0.1339 1.5298
0.0931 0.1656 -0.0498
0.8680 0.5265 3.0284
0.2340 0.9605 2.7021
0.7210 0.5159 2.4588
0.4652 0.2099 1.7577
0.6167 0.0337 0.2190
0.0653 0.1628 0.2212
0.1915 0.0384 1.0365
0.2670 0.0746 0.9050
0.1948 0.6015 0.8072
0.1192 0.9318 1.6794
0.1866 0.0189 1.2575
0.8825 0.0470 1.6638
0.3713 0.5933 2.3432
0.7375 0.4240 1.1973
0.8559 0.6653 3.0259
0.6702 0.4160 1.3632
0.4049 0.4317 2.2873
0.9295 0.2657 2.8559
0.6832 0.1772 2.1997
0.4965 0.2862 0.7195
0.4520 0.0390 0.7308
0.0673 0.8847 2.2607
0.5648 0.0343 1.4769
0.7527 0.8099 3.0046
0.8990 0.5417 2.7042
